X,Y,OBJECTID,ID,NAME,ADDRESS,ARCH_TYPE,CONST_DATE,PHOTOS,SDE_PHOTOS,NUM_ON_REGISTER,DESIGNATION_DATE
-91.992280055446201,30.221021711553472,28,1024,LEVY-LEBLANC HOUSE,111 MICHAEL ALLEN BLVD,FOLK VICTORIAN,CIRCA 1900,LEVY-LEBLANC_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/024-Levy-LeBlancHouse.jpg,24,1992-12-02T00:00:00.000Z
-92.012241347299508,30.230446004787986,29,1023,LOUIS BAZIN HOUSE,210 N MAGNOLIA ST,QUEEN ANNE REVIVAL,CIRCA 1880,LOUIS_BAZIN_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/023-LouisBazinHouse.jpg,23,1992-11-05T00:00:00.000Z
-92.019601423295825,30.217358661819016,31,1022,J ARTHUR ROY HOUSE,1204 JOHNSTON ST,EASTLAKE,1901,J_ARTHUR_ROY_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/022-JArthurRoyHouse.jpg,22,1992-11-05T00:00:00.000Z
-92.022033681858019,30.225545138785222,32,1021,DR JD TRAHAN HOUSE,814 S WASHINGTON ST,FRENCH CREOLE,CIRCA 1869,DR_JD_TRAHAN_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/021-DrJDTrahanHouse.jpg,21,1992-06-06T00:00:00.000Z
-92.022131143828361,30.160091411614903,33,1020,ONEZIPHORE COMEAUX HOUSE,1905 VEROT SCHOOL RD,FRENCH CREOLE,CIRCA 1880,ONEZIPHORE_COMEAUX_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/020-OneziphoreComeauxHouse.jpg,20,1992-06-06T00:00:00.000Z
-92.018608234816213,30.224230083680474,34,1019,MOSS BUILDING,557 JEFFERSON ST,ITALIANATE,1906,MOSS_BUILDING,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/019-MossBuilding.jpg,19,1992-06-06T00:00:00.000Z
-92.011441564557487,30.229852140176575,35,1018,GREENHOUSE SENIOR CENTER,110 NE EVANGELINE THWY,QUEEN ANNE REVIVAL,CIRCA 1900,GREENHOUSE_SENIOR_CENTER,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/018-GreenhouseSeniorCenter.jpg,18,1992-03-26T00:00:00.000Z
-92.018627615844593,30.220158552070966,36,1017,CAILLOUET HOUSE,120 CAILLOUET PL,FRENCH COLONIAL,CIRCA 1896,CAILLOUET_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/017-CaillouetHouse.jpg,17,1992-03-26T00:00:00.000Z
-92.018204234033149,30.220153264640754,37,1042,DAUTERIVE HOUSE,117 CAILLOUET PL,AMERICAN FOURSQUARE,1919,DAUTERIVE_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/042-DauteriveHouse.jpg,42,1996-03-03T00:00:00.000Z
-92.017550856640327,30.223660977663066,38,1016,CHARGOIS HOUSE,309 POLK ST,MODIFIED COLONIAL REVIVAL,1915,CHARGOIS_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/016-ChargoisHouse.jpg,16,1992-01-16T00:00:00.000Z
-92.022602319523145,30.21801017918526,39,1015,YANDLE HOUSE,200 CHERRY ST,QUEEN ANNE REVIVAL,CIRCA 1907,200_CHERRY_STREET,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/015-200CherryStreet.jpg,15,1991-05-02T00:00:00.000Z
-92.015013718821379,30.219879316579934,40,1014,GOOD HOPE HALL,300 STEWART ST,MODIFIED COLONIAL REVIVAL,CIRCA 1880,GOOD_HOPE_HALL,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/014-GoodHopeHall.jpg,14,1991-05-02T00:00:00.000Z
-92.016513079687385,30.200559603098782,41,1013,CAFÉ VERMILIONVILLE,1304 W PINHOOK RD,FRENCH COLONIAL,CIRCA 1811,CAFE_VERMILIONVILLE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/013-CafeVermilionville.jpg,13,1991-02-07T00:00:00.000Z
-92.009909486824441,30.232219780359102,42,1006,CHARLES MOUTON PLANTATION HOUSE,338 N STERLING ST,FRENCH CREOLE,CIRCA 1820,CHARLES_MOUTON_PLANTATION_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/006-CharlesMoutonPlantation.jpg,6,1990-11-01T00:00:00.000Z
-92.028099504183459,30.224559962987421,43,1012,LAFAYETTE MIDDLE SCHOOL,1301 W UNIVERSITY AVE,COLLEGIATE GOTHIC,1926,LAFAYETTE_MIDDLE_SCHOOL,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/012-LafayetteMiddleSchool.jpg,12,1991-02-07T00:00:00.000Z
-92.019629161776422,30.223873307968592,44,1011,LAFAYETTE HARDWARE STORE,121 W VERMILION ST,ITALIANATE,CIRCA 1890,LAFAYETTE_HARDWARE_STORE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/011-LafayetteHardwareStore.jpg,11,1991-02-07T00:00:00.000Z
-92.023293071767384,30.222407007600435,45,1010,SAINT JOHN RECTORY,914 SAINT JOHN ST,SPANISH REVIVAL,1921,ST_JOHNS_RECTORY,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/010-SaintJohnsRectory.jpg,10,1991-02-07T00:00:00.000Z
-92.023449964520111,30.222905748733805,46,1009,SAINT JOHN CATHEDRAL & PROPERTY,914 SAINT JOHN ST,DUTCH ROMANESQUE REVIVAL,1916,ST_JOHNS_CADRAL_& PROPERTY,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/009-SaintJohnsCathedral.jpg,9,1991-02-07T00:00:00.000Z
